sex,age,income,wt,ht,bmi,waist
female,21,45000,103.5,166.5,37.33,102.3
female,18,25000,61.2,150.6,26.98,89.3
female,45,100000,83.8,155.6,34.61,103
male,45,100000,84.6,182,25.54,97.1
female,40,35000,97.5,156.1,40.01,114.6
male,78,25000,117.7,164.2,43.65,141.5
male,57,,72.7,170.6,24.98,95.5
male,38,55000,87.9,173.8,29.1,99.2
female,78,5000,51.6,151,22.63,91.8
female,58,20000,106,167.2,37.92,121
female,23,65000,85.8,159.6,33.68,102
female,29,25000,67.9,166.5,24.49,85.6
female,14,100000,45.1,157.6,18.16,70.1
male,40,75000,106.5,181.6,32.29,110
female,28,5000,69.9,165.5,25.52,96.1
female,23,20000,65.2,160.6,25.28,81.9
female,30,10000,87.8,164.4,32.49,107.4
female,18,100000,52.5,159.9,20.53,69.2
female,56,35000,67.8,154.3,28.48,91.6
female,61,65000,66.3,168.3,23.41,78
female,17,100000,48.7,158.4,19.41,71.7
male,31,65000,125.8,186.2,36.28,
female,26,55000,67.9,162,25.87,87.2
male,25,,85.7,173.5,28.47,89.7
male,31,,88.4,175.8,28.6,94.8
male,73,20000,94.2,168.7,33.1,115.1
male,36,65000,69.5,160.3,27.05,92.7
female,55,100000,53.9,160.1,21.03,76.7
male,30,100000,94.1,174.5,30.9,103.5
male,43,10000,82,172.7,27.49,102.6
male,61,35000,81.3,161.6,31.13,97.7
male,17,35000,103.8,181.5,31.51,110.5
female,80,15000,66.9,156.7,27.25,98.9
male,32,,77.6,182.5,23.3,88
male,36,75000,64.9,159.8,25.42,
female,31,55000,76.2,169.1,26.65,87.2
male,14,25000,74,173.7,24.53,83.2
female,33,65000,61.9,165,22.74,80.4
female,62,100000,62.1,164.3,23,84.9
male,62,25000,98.9,166.7,35.59,116.4
male,51,25000,85.2,169,29.83,95.2
male,26,65000,66.7,171,22.81,83.1
male,58,,94,179.2,29.27,102
male,80,65000,51.4,169.6,17.87,75
female,43,25000,74.7,167,26.78,93.2
male,53,5000,136.4,187,39.01,133.2
male,79,,101.4,172.1,34.24,110.4
female,43,25000,71.2,152.3,30.7,97.3
female,36,100000,58.8,169.8,20.39,82.2
female,12,10000,45.9,156.3,18.79,76
female,13,,43.3,152.5,18.62,61
female,44,25000,55,152.3,23.71,75.8
female,20,45000,72.1,173.7,23.9,80.6
female,80,100000,56.2,162.8,21.2,81.5
male,56,20000,60,162.8,22.64,78.5
male,80,65000,95.5,167.5,34.04,117.6
male,22,5000,120.8,180.9,36.91,115.5
female,80,20000,71.6,152,30.99,100.4
male,22,,57.5,164.1,21.35,74.9
female,13,25000,79.6,155.2,33.05,102.6
female,35,100000,76.6,173.8,25.36,90.3
female,43,75000,49.1,158.1,19.64,69.9
female,42,25000,59.7,154.9,24.88,84.3
male,38,20000,78.9,174.5,25.91,95.3
female,48,15000,66.5,158.8,26.37,88.6
female,67,10000,49,146.5,22.83,86.1
male,51,35000,84.2,178.2,26.52,98
female,15,25000,47.2,154.9,19.67,69.6
male,36,15000,142.3,178.9,44.46,147.7
female,13,20000,55.3,162.8,20.86,77.8
female,19,15000,56.2,150.4,24.85,79.8
female,28,55000,59.8,161.5,22.93,
female,51,35000,97.9,155.1,40.7,120.5
male,44,55000,136.3,185,39.82,142.8
male,52,55000,83.1,173.5,27.61,99
female,42,20000,91.1,176.9,29.11,99.5
male,27,35000,66.8,182.6,20.03,74
female,46,10000,60,148.2,27.32,90.7
male,18,25000,78.4,168.1,27.74,94.8
male,75,,61.2,169.9,21.2,93.4
male,64,20000,65.1,170.8,22.32,91.7
female,62,100000,61.8,147.6,28.37,88.2
female,45,45000,57.8,155.1,24.03,83.7
female,44,5000,94,164.9,34.57,109.2
male,80,65000,82.8,168,29.34,103.6
female,16,100000,87.6,166.7,31.52,102
female,76,15000,85.2,163.4,31.91,108
female,40,65000,85.8,173.2,28.6,84
male,75,75000,88.1,177,28.12,108
female,36,100000,65.2,176.1,21.02,80.4
male,30,55000,92.3,181.8,27.93,92.5
male,17,65000,70.2,173.5,23.32,76.1
female,63,20000,75.2,150.6,33.16,103
male,56,75000,125.8,176.8,40.25,128.8
male,75,25000,88.3,173.1,29.47,107.4
male,47,45000,69.2,170.2,23.89,87
male,25,100000,67.5,172.9,22.58,85
female,63,20000,75,154.3,31.5,100.8
male,44,35000,71.8,180.1,22.14,83.5
male,31,25000,86.2,167.6,30.69,96.2
male,64,35000,87.8,178.8,27.46,101.1
male,67,20000,67.4,170.7,23.13,91.5
male,77,35000,79.6,161.3,30.59,105.4
male,51,35000,87.2,171.5,29.65,105
female,70,75000,86,145.8,40.46,117.5
female,61,10000,77.4,157.3,31.28,114.4
female,17,45000,73.2,164.8,26.95,82.7
female,15,20000,64.4,166.3,23.29,77.4
female,31,15000,129.3,162.6,48.91,132.3
female,30,55000,54,162.4,20.47,81.1
female,70,55000,101.4,162.2,38.54,123.5
female,13,100000,35.1,145.5,16.58,63.8
male,47,10000,98.4,174.5,32.32,
male,22,15000,95.6,165.8,34.78,109.6
male,23,0,74.5,172.1,25.15,87.2
female,53,25000,72,157.7,28.95,96.2
male,47,75000,108.9,178.4,34.22,113
female,23,10000,81.8,157.3,33.06,99
female,43,35000,94.4,154.5,39.55,113
male,55,65000,124.1,183.8,36.74,126
male,49,75000,89.2,186.5,25.65,96.7
female,28,0,95.9,158.2,38.32,121
male,33,15000,151.3,179.9,46.75,143.8
female,67,10000,74.9,153.4,31.83,104.2
male,17,35000,77.7,185,22.7,82
male,22,5000,80.7,174.4,26.53,101.4
female,65,75000,92.3,164.8,33.99,104.6
male,55,25000,86.6,179.2,26.97,98.8
male,47,35000,76,180.8,23.25,83.5
male,19,100000,70,169.9,24.25,84.5
male,80,25000,141.2,170.8,48.4,146
female,62,0,50.9,156.6,20.76,82.2
female,80,45000,51.9,151.1,22.73,79.8
male,26,20000,88,182.5,26.42,90.3
male,19,10000,66.6,175.8,21.55,72.8
male,55,35000,95.3,163.1,35.82,115.7
male,14,25000,64.7,175,21.13,73.2
female,52,100000,63.2,155.5,26.14,90
male,31,25000,103,183.8,30.49,106.3
male,29,65000,109.9,176.6,35.24,108.1
female,57,25000,69.6,154.6,29.12,96.3
female,39,75000,100.3,165.2,36.75,117.8
male,42,15000,76.6,172.8,25.65,82.7
female,47,0,78.1,150,34.71,111.7
female,71,20000,76.8,164.7,28.31,93.8
female,56,35000,69.6,154,29.35,94
female,46,100000,62,166,22.5,77.3
male,14,45000,54.5,175.5,17.69,67.7
female,40,25000,78.9,158.9,31.25,104
male,30,65000,73.8,165.7,26.88,92.7
male,31,25000,86.2,172.5,28.97,101.3
male,49,100000,77.1,181.4,23.43,95.5
female,61,45000,86.4,167.8,30.69,100.1
female,29,35000,69.9,166.9,25.09,88
male,61,65000,87.3,170.4,30.07,108.5
male,46,10000,98.7,162.4,37.42,112.5
male,33,,98.1,160.4,38.13,114.9
female,54,25000,70.8,156.5,28.91,99.2
male,47,100000,96.6,178.8,30.22,106.2
female,56,,71.8,158.7,28.51,103.9
male,58,5000,102.5,179.3,31.88,112
male,80,75000,88.3,178.3,27.78,108
female,54,35000,56.8,167.2,20.32,75.3
male,47,0,74.5,180.4,22.89,97.7
female,61,35000,87.7,162.4,33.25,112.5
male,36,35000,82.5,169.2,28.82,98.4
female,50,75000,107.7,152.8,46.13,114.6
male,15,45000,66.1,172.9,22.11,78.2
male,73,< 20000,40.1,165.8,14.59,68
female,30,0,86.1,160.8,33.3,102.5
female,74,25000,66.6,159.5,26.18,96.2
male,14,10000,76.2,164.3,28.23,99.9
male,41,20000,80.4,178.9,25.12,80.2
male,12,20000,46.7,153.1,19.92,71.3
female,74,5000,91.9,158.1,36.77,125.6
female,12,35000,73,159.6,28.66,104.2
female,49,20000,61.7,161.6,23.63,94
female,62,25000,75.2,165.1,27.59,96.1
female,44,100000,75.1,160.6,29.12,84.9
female,50,25000,136.2,176.1,43.92,129.8
male,19,20000,61.6,174.1,20.32,73.1
female,66,100000,74.1,154.7,30.96,104.2
male,37,,89.7,178.7,28.09,90.6
male,18,45000,70.8,179.8,21.9,76.3
female,18,25000,80.6,159.6,31.64,107.3
male,31,35000,108.9,175.8,35.24,110.1
female,33,45000,65.9,164.9,24.24,86.1
female,33,15000,91.9,163.7,34.29,112
female,28,75000,67.3,161.3,25.87,88.8
female,16,45000,83.8,162.6,31.7,92.3
male,65,65000,90.3,169.9,31.28,105.9
male,29,25000,97.6,178.9,30.5,98
male,20,65000,79.6,178.4,25.01,81
male,56,10000,57.6,158.9,22.81,86
female,44,20000,72.9,152.8,31.22,97.3
male,77,55000,91,173.2,30.34,110.2
female,41,5000,68.6,160,26.8,91.4
female,46,25000,70.3,163.1,26.43,88.2
male,13,35000,67.2,151.7,29.2,97.6
male,19,25000,87.5,182.9,26.16,92.1
female,44,5000,86.9,150.2,38.52,118.5
male,62,100000,92.4,161.2,35.56,116
male,62,35000,96.5,182.5,28.97,104.5
female,26,100000,62.3,173.1,20.79,74.9
male,19,100000,81.7,178.9,25.53,92.5
female,35,25000,77.5,171.2,26.44,99.2
male,40,100000,119.9,191.5,32.7,112.3
male,57,45000,81.5,162.4,30.9,106.2
male,43,0,101.7,174.6,33.36,106.3
female,80,5000,45.4,144.6,21.71,79
male,15,75000,58,172.5,19.49,73.2
female,57,15000,81.7,154.1,34.4,102.2
male,50,20000,78,177.9,24.65,93.9
male,38,20000,98.5,178.3,30.98,108.2
male,47,75000,91.5,192.6,24.67,97.4
male,27,15000,84.8,187.6,24.1,94.7
male,66,100000,143.5,180.5,44.05,145.6
female,80,20000,77.2,152.7,33.11,106.9
male,72,25000,89.1,177.9,28.15,107.7
female,40,25000,82.5,158.8,32.72,98.8
male,41,35000,104.6,169.2,36.54,122
female,33,25000,74.8,157,30.35,95.8
female,80,35000,70.7,161.1,27.24,102.6
male,17,75000,73.8,189.3,20.59,73.9
male,19,35000,122.9,176.4,39.5,115.1
male,80,25000,120.8,172,40.83,128.6
male,31,20000,73.7,184,21.77,83.1
male,66,65000,101.8,179,31.77,114.8
male,20,5000,103.9,181.1,31.68,105.7
female,73,75000,49.4,152,21.38,76.5
female,61,100000,60.4,161.8,23.07,83.2
male,69,75000,74.4,175.1,24.27,94
female,79,35000,55.4,161.3,21.29,79.2
female,52,100000,109.3,166,39.66,130
female,36,35000,82.6,151.2,36.13,108.5
female,16,,113,169.6,39.28,123.9
female,61,,96.9,154.1,40.81,120.5
female,68,15000,101.4,167.4,36.18,
female,28,25000,74.1,171.1,25.31,92.2
male,56,75000,100.6,182.3,30.27,105.3
female,12,20000,40.8,153.4,17.34,60.2
male,62,75000,85.3,162.6,32.26,108
female,74,15000,99.2,156.8,40.35,106.4
male,17,0,74.4,174.8,24.35,76.5
female,51,65000,69.8,162.7,26.37,94
female,48,0,93.9,162.8,35.43,110.3
male,67,55000,78.9,163,29.7,111.2
female,48,100000,56.1,161.6,21.48,71.5
male,52,10000,56.4,171.6,19.15,78
female,63,20000,75.3,163.7,28.1,99.9
male,58,15000,139.1,180.2,42.84,
male,14,,62.2,173.3,20.71,80
female,43,35000,61.8,165.3,22.62,77.9
male,30,5000,59.7,165.1,21.9,81.7
male,41,25000,94.4,172,31.91,107.2
female,67,10000,57.7,151.7,25.07,94.8
male,68,100000,104,179.3,32.35,117.5
female,19,25000,109.8,164.5,40.58,131
male,46,< 20000,98.6,173.1,32.91,113
male,56,5000,88.8,182.2,26.75,101.1
female,55,20000,119.9,160.2,46.72,136.4
female,51,15000,75.6,158.7,30.02,108
male,14,35000,71.8,167.5,25.59,88.1
male,75,15000,78.8,171.9,26.67,106
female,30,15000,97.5,179.3,30.33,108.5
female,39,55000,69.9,155.6,28.87,95.6
male,18,35000,109.4,168.5,38.53,118
male,61,100000,168.8,187.1,48.22,147.4
male,75,65000,112.2,184.6,32.93,127.9
female,56,35000,79.5,162.4,30.14,103
male,47,100000,85.7,177,27.35,95.1
female,23,20000,47.9,154.6,20.04,74.6
female,12,75000,50.2,159.6,19.71,74.2
female,21,5000,129,183.7,38.23,126
female,29,35000,72.2,159.8,28.27,94.4
male,62,10000,72.6,160.5,28.18,100.3
male,43,55000,113.9,176,36.77,118.8
female,61,20000,49.5,146.6,23.03,75.9
female,14,55000,71.4,164.2,26.48,88.1
female,31,35000,110,160.5,42.7,113.7
male,71,55000,92.9,180.1,28.64,108
female,38,20000,81.7,158.3,32.6,90
female,57,20000,97.4,167.2,34.84,
female,13,20000,82.8,166.3,29.94,100.6
female,13,75000,43.6,156.1,17.89,70.9
female,54,100000,96.6,170,33.43,106
female,13,45000,51.7,157.2,20.92,77.2
female,46,25000,56.6,171.7,19.2,78.3
female,74,20000,117,159.8,45.82,130.1
female,80,15000,62.7,154.8,26.17,87.2
male,61,55000,109.8,176.6,35.21,116.3
male,74,35000,64.9,172.8,21.73,89.9
female,61,20000,79.3,156.2,32.5,101.4
male,48,100000,106.3,182.9,31.78,110
male,74,35000,81.1,185.7,23.52,94.2
male,59,5000,63.1,182,19.05,79.1
female,55,20000,63.6,162.1,24.2,84.5
female,65,35000,56.9,152.9,24.34,94.5
male,17,100000,68.6,177.1,21.87,74
male,40,75000,115.1,180.2,35.45,120.3
male,30,55000,72.7,172.8,24.35,90.5
male,45,15000,62.3,165.8,22.66,85.5
male,59,75000,117.8,167.7,41.89,123
male,29,45000,129.1,174.5,42.4,131.5
female,50,20000,94.5,169.3,32.97,94
male,34,45000,93.4,165.4,34.14,106.5
female,13,75000,61.6,167.4,21.98,71.5
female,44,75000,58,166.5,20.92,80.2
female,80,5000,51.3,148.9,23.14,89.2
female,14,100000,58.3,164.5,21.54,73.4
female,29,15000,70.4,148.1,32.1,95.4
female,51,5000,77.5,156.7,31.56,101.5
male,73,55000,70.9,163.9,26.39,95.6
male,55,100000,90.6,174.2,29.86,112
male,17,25000,70.4,180.7,21.56,
female,47,65000,64,161.2,24.63,93.6
female,13,20000,47.5,158.2,18.98,72
male,39,75000,130.7,179.3,40.66,131.8
female,46,25000,94.3,161.2,36.29,107.5
male,23,25000,72,175.8,23.3,80.1
female,66,55000,69.4,169.8,24.07,90
male,76,35000,48,154.1,20.21,84.7
male,21,20000,81.6,186.2,23.54,89
female,49,45000,50.7,158.3,20.23,79.9
female,43,10000,58.4,149.8,26.02,83.9
male,67,35000,88.4,175.1,28.83,100.4
female,40,< 20000,56.2,156.8,22.86,78.1
female,66,10000,61.2,153.9,25.84,88
male,54,0,88.6,178.9,27.68,97
male,38,25000,79.8,173,26.66,96.6
female,63,10000,68.2,165.8,24.81,101.6
female,65,100000,59.8,140.8,30.16,96
female,48,20000,92.7,161.6,35.5,112
male,13,75000,56.9,158.1,22.76,75.2
male,66,100000,67.8,175.5,22.01,88.4
female,39,45000,102.8,173.3,34.23,104
male,21,35000,84,169.8,29.13,99.2
female,18,10000,64,154.2,26.92,88.9
male,64,,75.3,169.3,26.27,93.5
female,57,35000,64,146.4,29.86,91.4
male,55,100000,85.6,176.8,27.38,102.4
female,56,35000,112,163.7,41.79,117
male,36,0,93.3,179.2,29.05,101.1
male,73,25000,86.4,176.9,27.61,106
female,80,< 20000,61.4,149.3,27.55,99.6
female,22,10000,100.5,149,45.27,118.2
male,17,100000,74.2,189.3,20.71,74.5
female,44,20000,55.8,159.1,22.04,79.8
male,33,35000,120.4,185.9,34.84,113.4
male,77,45000,65.9,158.4,26.26,94.3
female,43,20000,81.7,163.4,30.6,97.9
male,46,75000,98.8,170.7,33.91,111
male,44,0,124.7,189.5,34.73,131.4
male,77,35000,76.1,175.8,24.62,96.9
male,44,45000,74.5,192.6,20.08,78.7
female,18,75000,68,154.8,28.38,96.5
male,15,20000,56.7,169.4,19.76,70.5
female,80,20000,65.6,162.8,24.75,93.3
female,34,45000,52.1,161.4,20,75.7
male,26,15000,75.7,179.6,23.47,85.5
female,21,55000,57.4,162.8,21.66,85.1
female,18,15000,66.4,161,25.62,87.2
male,26,75000,69.2,184.4,20.35,74.5
male,80,10000,84.1,173,28.1,102.6
male,30,,65.3,166.3,23.61,80.4
female,80,10000,51.9,148.4,23.57,91
male,46,45000,86.8,176.6,27.83,102.6
male,62,20000,95.6,160.5,37.11,122.8
female,34,55000,74.5,173.5,24.75,81.5
male,54,,73.3,165.9,26.63,96
female,50,,49.3,156.1,20.23,75.4
male,21,25000,94.5,174.8,30.93,107.2
female,13,55000,66,162.4,25.02,81.1
male,54,75000,85.6,176,27.63,97.4
male,68,20000,78.1,168.1,27.64,95
female,80,20000,70.7,160.4,27.48,86.5
male,16,20000,74.4,186.3,21.44,76.5
female,40,100000,72.2,159.5,28.38,90.1
male,80,55000,78,171.7,26.46,101.2
male,33,10000,69.8,175.1,22.77,86.4
male,30,65000,63.8,173.8,21.12,70
female,20,0,83.8,165.8,30.48,98.5
female,56,100000,63,167.8,22.37,81.5
female,37,,56.4,152.9,24.12,77.2
male,74,5000,61.4,159.9,24.01,95.5
male,18,35000,150,183.2,44.69,140.8
male,18,,60.6,170,20.97,
female,71,15000,72.3,167.9,25.65,88
female,15,10000,74.3,160.5,28.84,87.5
male,17,65000,77.5,175.6,25.13,82
male,80,45000,86.5,171.1,29.55,111.4
male,39,20000,143.3,167.2,51.26,145.5
female,20,25000,51.4,164,19.11,71.3
male,51,25000,71.4,168.1,25.27,89.3
female,67,,119.8,173.1,39.98,136.2
female,30,0,84.3,167,30.23,101.4
female,70,55000,66.9,163.4,25.06,96.8
male,24,20000,107.4,182.6,32.21,104.8
female,26,25000,56.4,164.2,20.92,74
female,53,45000,230.7,168.5,81.25,
female,75,20000,50,153.2,21.3,74.5
female,43,15000,63.6,155.6,26.27,88
female,18,35000,62.9,164.5,23.24,79.6
female,40,15000,75.1,163.6,28.06,92.6
female,80,55000,59.9,155,24.93,84.2
male,61,20000,79.5,164.7,29.31,101.6
male,23,0,72.6,179.9,22.43,80.2
female,42,15000,63.4,161.3,24.37,78.6
female,18,20000,64.6,156.7,26.31,83.7
male,29,75000,116.9,189,32.73,114
male,13,65000,49.1,168,17.4,64.7
female,22,0,62.5,150.8,27.48,89.8
female,41,45000,87.2,154.7,36.44,104.1
female,51,100000,49.1,148.9,22.15,74.8
female,57,35000,73.2,163.2,27.48,89.8
female,21,5000,109.7,160.9,42.37,112.1
male,17,100000,71.2,180.5,21.85,78.7
male,72,25000,93.9,165,34.49,117.7
female,65,,65.1,164.7,24,87.3
female,59,100000,61.3,166.9,22.01,83
male,19,5000,71.2,185.6,20.67,75
female,80,20000,71.5,166.6,25.76,97.7
female,31,15000,56,167.6,19.94,83.7
female,25,35000,71.2,160.8,27.54,94
female,19,100000,59.8,165.9,21.73,84.1
male,58,55000,121.4,185.1,35.43,118.1
male,46,45000,76.2,175.1,24.85,92.5
male,70,,100.6,184.6,29.52,112.8
female,80,10000,97,161.7,37.1,117.7
male,20,20000,66.2,176,21.37,76.8
male,36,75000,76.3,172.1,25.76,86.1
female,29,0,65.5,165.6,23.88,80.7
male,18,25000,86,162.7,32.49,96
male,28,20000,73.3,172.6,24.6,90
female,37,25000,60.7,148.7,27.45,86.4
female,50,75000,65.6,167.2,23.47,93.5
female,34,45000,50,149.5,22.37,79.2
male,23,35000,160.6,175.6,52.08,154.7
male,49,20000,115.2,182.9,34.44,120.6
female,35,65000,103,167.2,36.84,123.2
female,70,10000,77.1,163.6,28.81,104.7
male,33,75000,79.6,179.7,24.65,89.1
female,32,100000,115.3,167.8,40.95,123
male,62,100000,71.7,164,26.66,96.3
male,68,35000,82.5,171.4,28.08,103.3
female,55,0,89.5,162.4,33.94,117.3
female,62,45000,108.7,169.6,37.79,115
male,29,25000,106,163.7,39.56,122
male,59,45000,84.8,168.1,30.01,103
female,12,45000,44.5,158.4,17.74,68.8
female,33,75000,52.9,163.5,19.79,74.5
female,22,0,109.6,163.9,40.8,122
male,15,10000,61.5,170.9,21.06,78
male,24,,86.2,167.7,30.65,98.4
female,20,25000,64.3,168,22.78,85.8
female,75,10000,77.1,149.7,34.4,103.3
female,47,0,54.3,143.6,26.33,82.3
male,55,15000,88.2,170.4,30.38,104
female,35,25000,88.7,163.7,33.1,103.9
female,80,15000,88.2,151.7,38.33,113.7
female,21,25000,62.9,156,25.85,91
male,28,45000,56.3,165.3,20.6,78.8
male,15,20000,58.8,166.2,21.29,74.4
male,36,75000,128.9,175.2,41.99,129
female,54,0,67.9,161.9,25.9,89
male,24,55000,78,169.5,27.15,93.5
male,57,35000,113.1,174.4,37.19,127
male,80,15000,86.3,173.5,28.67,113
male,31,25000,72.7,183.6,21.57,82.1
female,34,5000,79.3,164.6,29.27,95.7
female,57,25000,83.4,160.3,32.46,105.3
female,73,10000,87.3,160.4,33.93,106.4
male,24,10000,72.4,179.6,22.45,81.9
female,13,25000,55.2,158,22.11,79
male,31,55000,108.1,179.8,33.44,101.5
male,71,10000,77,157.7,30.96,107
female,80,,55.9,141.5,27.92,98
female,42,35000,78,162.3,29.61,97.5
male,30,45000,67.4,170.3,23.24,82.5
male,21,20000,61.8,177.4,19.64,70.6
female,33,0,64.1,161.6,24.55,82.4
female,33,75000,89.8,160.7,34.77,103.8
female,46,45000,50.3,154.6,21.05,77.7
male,41,20000,96.2,149.4,43.1,120
male,45,100000,71.4,176.4,22.95,82.6
male,80,55000,87.3,172.4,29.37,107.6
female,49,55000,64.1,150.6,28.26,92
female,42,20000,64.2,154.4,26.93,91
female,13,20000,54.1,155.9,22.26,79.5
male,59,,81.9,181.9,24.75,103.4
male,71,25000,66.9,168.1,23.68,91.2
female,44,100000,79.3,165.8,28.85,93.5
female,65,45000,86.1,156.7,35.06,106.7
female,24,75000,96.4,160.9,37.24,120.2
male,63,25000,96.6,177.2,30.76,113.8
female,23,15000,63.8,162,24.31,90
female,80,35000,66.7,158.6,26.52,91.3
male,36,20000,105.1,175.6,34.08,115.2
male,64,,99.3,172.7,33.29,107.2
male,58,55000,84.1,178.9,26.28,101
female,68,45000,90.5,168.3,31.95,116.8
male,38,100000,97.4,182.2,29.34,101.6
male,61,100000,77.2,173.6,25.62,92
female,46,35000,43.7,148.1,19.92,77.3
female,68,10000,91.2,159.1,36.03,114.6
female,21,5000,64.3,163.6,24.02,78.2
female,37,20000,60.1,152.3,25.91,89.5
male,17,25000,66,171.2,22.52,69.7
male,19,100000,63.7,176.5,20.45,75.4
female,40,45000,74.9,157.8,30.08,88.2
female,43,20000,65.5,161.8,25.02,86.2
female,21,100000,88,161.9,33.57,105.3
female,32,25000,69.3,169.6,24.09,94.3
female,48,5000,74.9,163.3,28.09,96.8
male,16,15000,59.5,171.6,20.21,75.2
male,68,55000,125.4,179.6,38.88,128.8
male,80,100000,58.7,159.2,23.16,80.5
female,78,55000,50.4,155.1,20.95,88.5
female,60,20000,57.7,158.8,22.88,93.9
female,78,0,63.4,156.4,25.92,97
male,55,25000,63.2,167.6,22.5,80.4
male,39,25000,71.8,170.2,24.79,91.9
female,76,20000,66.9,151.8,29.03,102.3
male,55,100000,79.7,168.6,28.04,97.5
female,78,20000,82.9,151.4,36.17,98
male,27,25000,99,189.3,27.63,96.6
female,74,35000,77.8,151.7,33.81,108
female,13,45000,57.5,156.1,23.6,82
female,51,100000,69.3,163.5,25.92,87.4
male,54,65000,79.7,174.8,26.08,87.5
female,16,35000,59,157.5,23.78,79.4
female,52,0,53.8,158.6,21.39,72.2
female,55,65000,67.3,161.7,25.74,95.8
male,66,10000,53.7,171.1,18.34,71.1
male,15,25000,60.3,168.7,21.19,78
male,80,35000,88.3,181.9,26.69,100.7
female,14,75000,60.4,155.3,25.04,81.9
male,43,100000,82.6,180,25.49,93
female,52,45000,101,156.5,41.24,122.2
male,38,100000,93.5,173.9,30.92,102.3
female,60,15000,103,168.7,36.19,119.5
male,14,5000,52.4,161.8,20.02,72.6
male,51,100000,104.6,176.3,33.65,
male,19,20000,101.8,185.3,29.65,102.3
female,60,100000,77.1,164,28.67,95.7
male,59,75000,112,183.6,33.23,116.8
male,80,65000,67.1,172.5,22.55,94.7
male,24,25000,110,177.1,35.07,112.6
female,64,55000,54.4,148.7,24.6,86.1
female,69,45000,57.6,170.4,19.84,
male,16,45000,74.7,185.4,21.73,80.7
female,29,100000,91,159.1,35.95,117.2
female,76,15000,107.6,156.1,44.16,
